DATA_F5484A	castle_level_torch_frame1
DATA_FA6EC1	ship_mast_level_flag_frame5
DATA_FA7281	ship_mast_level_flag_frame6
DATA_FA7641	ship_mast_level_flag_frame7
DATA_FA7A01	ship_mast_level_flag_frame8

DATA_F641C1	ship_mast_level_rain_frame1
DATA_F645C1	ship_mast_level_rain_frame2
DATA_F649C1	ship_mast_level_rain_frame3
DATA_F64DC1	ship_mast_level_rain_frame4
DATA_F651C1	ship_mast_level_rain_frame5
DATA_F655C1	ship_mast_level_rain_frame6
DATA_F659C1	ship_mast_level_rain_frame7
DATA_F65DC1	ship_mast_level_rain_frame8
